Frames: 21604
Frame Time: 0.008333
0.2672954 1.560076 0.07175402
0.2672895 1.560083 0.07160667
0.2672998 1.560081 0.07151295
0.2672724 1.56007 0.07140356
0.2671316 1.560036 0.07140156
0.2670701 1.560034 0.07142877
0.2670285 1.560024 0.07142564
0.2671076 1.560039 0.07149909
0.2671441 1.560062 0.07159289
0.2671108 1.560057 0.07175302
0.2670913 1.560051 0.07195076
0.2670915 1.560045 0.07208174
0.2671187 1.560021 0.07218445
0.2671208 1.560023 0.07221014
0.2672228 1.560024 0.07210673
0.2672102 1.560014 0.07202965
0.2673144 1.559998 0.07197899
0.2673565 1.559973 0.07199793
0.267409 1.559957 0.07197308
0.2675064 1.559949 0.0720026
0.2675748 1.559966 0.07199065
0.2676141 1.559976 0.07189041
0.2677684 1.559985 0.07191467
0.2680201 1.559996 0.07212066
0.2680441 1.559983 0.07214904
0.2681536 1.559978 0.07213442
0.2682315 1.559974 0.07203531
0.2683457 1.559998 0.07191142
0.2684729 1.560028 0.07185123
0.2684951 1.560022 0.07178345
0.2685946 1.55999 0.07185339
0.2687259 1.559961 0.07191332
0.26878 1.559955 0.07190431
0.2688452 1.559968 0.07184748
0.2689889 1.559988 0.0717175
0.269031 1.559995 0.07161848
0.2691858 1.559994 0.07152681
0.2693122 1.559954 0.0714082
0.269397 1.559916 0.07145023
0.2694702 1.559902 0.07138132
0.2695719 1.559905 0.07125728
0.2696763 1.559924 0.07114852
0.2697941 1.559931 0.071105
0.2698722 1.559921 0.07120746
0.269921 1.559906 0.07136137
0.2699158 1.559899 0.07143006
0.2699796 1.5599 0.07146769
0.2700376 1.559895 0.07136716
0.2701003 1.55992 0.07130153
0.2701128 1.559928 0.07128894
0.2701402 1.559915 0.07130974
0.270193 1.559871 0.071387
0.2702146 1.559854 0.07140913
0.2702119 1.559849 0.07135791
0.2702966 1.55985 0.07121336
0.2703801 1.559867 0.0711862
0.2704971 1.559876 0.0712418
0.2705833 1.559853 0.07135818
0.2706802 1.559837 0.07153706
0.27066 1.559823 0.07157534
0.2707198 1.55983 0.07154872
0.2708676 1.559855 0.07148731
0.2709135 1.559874 0.07144751
0.2710394 1.559881 0.07152139
0.271108 1.559888 0.07166076
0.2711892 1.559879 0.07170185
0.2712041 1.559871 0.07167567
0.2712613 1.55987 0.07155935
0.2712903 1.559878 0.07138814
0.2713366 1.559878 0.07140715
0.2714263 1.559887 0.07146219
0.2715297 1.559864 0.07151388
0.2715997 1.559854 0.07155272
0.2717073 1.559853 0.07147414
0.2717269 1.559859 0.07136773
0.2718286 1.559875 0.07124078
0.2719457 1.559896 0.07128174
0.2720701 1.559899 0.07131925
0.2721176 1.559889 0.07136416
0.2721421 1.559885 0.07134262
0.2722106 1.559887 0.07133655
0.2722649 1.559904 0.07129931
0.2723214 1.559904 0.07128438
0.2723885 1.559904 0.07134808
0.2724479 1.559893 0.07136136
0.2724724 1.559888 0.07139097
0.2724972 1.55989 0.07132313
0.2724948 1.559873 0.07128947
0.2725287 1.559884 0.07114696
0.2725025 1.559884 0.07105296
0.2724919 1.559887 0.07107981
0.2725303 1.559878 0.07107121
0.2725992 1.559863 0.0710603
0.2726247 1.559842 0.07100265
0.272644 1.559833 0.07091057
0.272686 1.559829 0.07083066
0.272799 1.559827 0.07083146
0.2728776 1.559834 0.07087012
0.2729557 1.559824 0.07086439
0.2730629 1.559812 0.07077508
0.273076 1.559806 0.0707327
0.27309 1.559806 0.07063372
0.273157 1.559813 0.07060332
0.273218 1.559841 0.07059189
0.2732681 1.559845 0.0706183
0.2732953 1.559838 0.0705817
0.2733609 1.559839 0.07055382
0.273367 1.559812 0.07049619
0.2733653 1.559788 0.07044549
0.2733274 1.559773 0.07046941
0.2734099 1.559775 0.07045844
0.2735123 1.559795 0.07049673
0.273585 1.559787 0.07038378
0.2735687 1.559787 0.07031461
0.2736011 1.55978 0.0702774
0.2736704 1.559786 0.07025718
0.2737119 1.559778 0.07023652
0.2737839 1.559795 0.07026984
0.2738806 1.5598 0.07025202
0.2739585 1.559789 0.07023011
0.2739815 1.559768 0.07012188
0.2740336 1.559732 0.07008899
0.2740926 1.559713 0.07007538
0.2741539 1.559703 0.07007568
0.2742275 1.559704 0.07006917
0.27431 1.559713 0.0699869
0.2743904 1.559712 0.06987316
0.2744605 1.559706 0.06978226
0.2745278 1.559702 0.06969078
0.274608 1.5597 0.06962978
0.2746664 1.559705 0.0695601
0.2747481 1.55972 0.06946041
0.2748912 1.559723 0.06932955
0.2750202 1.559716 0.06916078
0.2750602 1.559693 0.06903304
0.2751426 1.559668 0.06889319
0.27518 1.559646 0.06879444
0.2752534 1.559641 0.06861766
0.2753331 1.559656 0.06840754
0.2754332 1.559669 0.06817254
0.2755088 1.559658 0.0679381
0.2755854 1.559644 0.06772622
0.2756426 1.559627 0.06757324
0.2756995 1.559618 0.06740766
0.2757777 1.559628 0.06727543
0.275895 1.559643 0.06708454
0.2760271 1.559653 0.06689958
0.2761208 1.559649 0.06677894
0.2762175 1.559627 0.06673052
0.2762336 1.559596 0.06667796
0.2763168 1.559593 0.06662124
0.2764072 1.559621 0.06648677
0.2765834 1.559677 0.06637287
0.2767045 1.559689 0.06620941
0.2768173 1.559693 0.06617175
0.2768381 1.559669 0.06611504
0.2768621 1.559647 0.06615425
0.2769152 1.559647 0.06614196
0.2770208 1.559679 0.06605494
0.2770921 1.559701 0.06594148
0.2771912 1.559716 0.06592093
0.2772253 1.559716 0.06592403
0.2771794 1.559698 0.06599592
0.2771109 1.559683 0.06597359
0.2770686 1.559689 0.06595887
0.2770607 1.559728 0.06589942
0.277078 1.559755 0.06585871
0.2771185 1.55977 0.06587994
0.2770637 1.559765 0.06594609
0.2770191 1.559738 0.06600643
0.2769155 1.559714 0.0660129
0.2768793 1.559721 0.06593232
0.2768836 1.559731 0.065799
0.2768821 1.559752 0.06576853
0.2769095 1.559761 0.06578837
0.2769189 1.559749 0.06584904
0.2768832 1.559729 0.06591184
0.2768823 1.559717 0.06587507
0.2769123 1.559726 0.06577235
0.2769162 1.559757 0.06565265
0.2768852 1.55977 0.06558433
0.2768119 1.559765 0.06556018
0.2767896 1.559747 0.06560151
0.276739 1.559723 0.065642
0.2766962 1.559708 0.06559699
0.2766893 1.559727 0.06548896
0.2766606 1.559749 0.06537534
0.2766555 1.55976 0.06532081
0.2766501 1.559761 0.06536719
0.2766262 1.559755 0.06539872
0.2765986 1.559745 0.06540418
0.2765268 1.559752 0.06535491
0.2765083 1.559775 0.06518451
0.2764983 1.559792 0.06505273
0.2764592 1.559788 0.06499477
0.2764069 1.559768 0.06506418
0.2763327 1.559736 0.06514639
0.2762638 1.559725 0.06520607
0.276128 1.559712 0.06513915
0.2760385 1.55973 0.06495523
0.2759888 1.559758 0.06489795
0.275935 1.559772 0.06494378
0.2758542 1.559769 0.06503091
0.2757635 1.559756 0.06508675
0.2756282 1.559733 0.06500021
0.2756246 1.559731 0.06489351
0.2755698 1.559745 0.06477555
0.2755598 1.559755 0.06473759
0.2754773 1.559746 0.0648344
0.2754659 1.559719 0.06494749
0.2753267 1.559695 0.06496834
0.2753076 1.55968 0.06486509
0.2752714 1.559687 0.06473925
0.2752647 1.55971 0.06466154
0.2752585 1.559739 0.0646761
0.2752302 1.559731 0.06475082
0.2752436 1.559703 0.06478202
0.2752185 1.559676 0.06479537
0.2751488 1.559661 0.06472903
0.2751451 1.559674 0.06462511
0.2751587 1.559702 0.06460779
0.2751646 1.559722 0.06462986
0.2751518 1.559715 0.06468581
0.2751566 1.559715 0.06474448
0.2752213 1.55972 0.06464286
0.2752347 1.559738 0.06461503
0.2752587 1.559767 0.06457635
0.2752623 1.559784 0.06461459
0.2752858 1.559786 0.06470565
0.2752768 1.559769 0.06486396
0.2752611 1.559745 0.06492205
0.2752135 1.559752 0.06488633
0.2751648 1.559762 0.06474746
0.2751463 1.55978 0.06471466
0.2751547 1.559783 0.06474534
0.2751811 1.559783 0.0648238
0.2751298 1.559755 0.06485268
0.2751362 1.559733 0.06487796
0.2751631 1.559704 0.06484353
0.2751521 1.559688 0.06478593
0.2751834 1.559685 0.06480231
0.275232 1.559696 0.06492453
0.2752672 1.559681 0.065089
0.2753175 1.55967 0.06519824
0.2753389 1.559663 0.06526957
0.2753685 1.559649 0.06527872
0.2754402 1.559656 0.06530867
0.2754622 1.559681 0.06543466
0.2755078 1.559711 0.06565174
0.2755992 1.559715 0.06590454
0.2756419 1.559706 0.0659995
0.2756289 1.559707 0.0661307
0.2755911 1.559711 0.06618378
0.2756118 1.559734 0.06633011
0.2756414 1.559747 0.06649271
0.2757125 1.559772 0.06674795
0.2757662 1.559802 0.0669318
0.2758479 1.559792 0.06701353
0.2759643 1.5598 0.06710123
0.2759658 1.559803 0.06719054
0.2759674 1.559811 0.0674566
0.2760159 1.559815 0.06779134
0.2760288 1.559814 0.06809709
0.2761192 1.559814 0.06826508
0.2761118 1.5598 0.06831523
0.276071 1.559776 0.06831013
0.2760518 1.559764 0.06829584
